varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0013212,2025,2025,,1500812,São Brás de Alportel,1,,LT,Lituânia,1,,,São Brás de Alportel,Faro,Município
0013212,2025,2025,,1500812,São Brás de Alportel,1,,MT,Malta,1,,,São Brás de Alportel,Faro,Município
0013212,2025,2025,,1910101,Águeda,1,,BG,Bulgária,1,,,Águeda,Aveiro,Município
0013212,2025,2025,,1910102,Albergaria-a-Velha,1,,AO,Angola,1,,,Albergaria-a-Velha,Aveiro,Município
0013212,2025,2025,,1910103,Anadia,1,,CY,Chipre,1,,,Anadia,Aveiro,Município
0013212,2025,2025,,1910108,Estarreja,1,,GR,Grécia,1,,,Estarreja,Aveiro,Município
0013212,2025,2025,,1910108,Estarreja,1,,NO,Noruega,1,,,Estarreja,Aveiro,Município
0013212,2025,2025,,1910108,Estarreja,1,,UA,Ucrânia,1,,,Estarreja,Aveiro,Município
0013212,2025,2025,,1910114,Oliveira do Bairro,1,,HU,Hungria,1,,,Oliveira do Bairro,Aveiro,Município
0013212,2025,2025,,1910114,Oliveira do Bairro,1,,JP,Japão,1,,,Oliveira do Bairro,Aveiro,Município
0013212,2025,2025,,1910114,Oliveira do Bairro,1,,TR,Turquia,1,,,Oliveira do Bairro,Aveiro,Município
0013212,2025,2025,,1910117,Sever do Vouga,1,,DK,Dinamarca,1,,,Sever do Vouga,Aveiro,Município
0013212,2025,2025,,1910117,Sever do Vouga,1,,IE,Irlanda,1,,,Sever do Vouga,Aveiro,Município
0013212,2025,2025,,1910117,Sever do Vouga,1,,SE,Suécia,1,,,Sever do Vouga,Aveiro,Município
0013212,2025,2025,,1910118,Vagos,1,,HR,Croácia,1,,,Vagos,Aveiro,Município
0013212,2025,2025,,1920111,Mealhada,1,,CY,Chipre,1,,,Mealhada,Aveiro,Município
0013212,2025,2025,,1920601,Arganil,1,,AO,Angola,1,,,Arganil,Coimbra,Município
0013212,2025,2025,,1920601,Arganil,1,,CY,Chipre,1,,,Arganil,Coimbra,Município
0013212,2025,2025,,1920601,Arganil,1,,EE,Estónia,1,,,Arganil,Coimbra,Município
0013212,2025,2025,,1920602,Cantanhede,1,,LT,Lituânia,1,,,Cantanhede,Coimbra,Município
0013212,2025,2025,,1920604,Condeixa-a-Nova,1,,CY,Chipre,1,,,Condeixa-a-Nova,Coimbra,Município
0013212,2025,2025,,1920604,Condeixa-a-Nova,1,,GR,Grécia,1,,,Condeixa-a-Nova,Coimbra,Município
0013212,2025,2025,,1920604,Condeixa-a-Nova,1,,LT,Lituânia,1,,,Condeixa-a-Nova,Coimbra,Município
0013212,2025,2025,,1920606,Góis,1,,AT,Áustria,1,,,Góis,Coimbra,Município
0013212,2025,2025,,1920606,Góis,1,,EE,Estónia,1,,,Góis,Coimbra,Município
0013212,2025,2025,,1920606,Góis,1,,HU,Hungria,1,,,Góis,Coimbra,Município
0013212,2025,2025,,1920606,Góis,1,,SE,Suécia,1,,,Góis,Coimbra,Município
0013212,2025,2025,,1920606,Góis,1,,TR,Turquia,1,,,Góis,Coimbra,Município
0013212,2025,2025,,1920607,Lousã,1,,LV,Letónia,1,,,Lousã,Coimbra,Município
0013212,2025,2025,,1920608,Mira,1,,KR,Coreia (República da),1,,,Mira,Coimbra,Município
0013212,2025,2025,,1920609,Miranda do Corvo,1,,BG,Bulgária,1,,,Miranda do Corvo,Coimbra,Município
0013212,2025,2025,,1920609,Miranda do Corvo,1,,HR,Croácia,1,,,Miranda do Corvo,Coimbra,Município
0013212,2025,2025,,1920609,Miranda do Corvo,1,,SI,Eslovénia,1,,,Miranda do Corvo,Coimbra,Município
0013212,2025,2025,,1920610,Montemor-o-Velho,1,,JP,Japão,1,,,Montemor-o-Velho,Coimbra,Município
0013212,2025,2025,,1920610,Montemor-o-Velho,1,,MA,Marrocos,1,,,Montemor-o-Velho,Coimbra,Município
0013212,2025,2025,,1920610,Montemor-o-Velho,1,,RS,Sérvia,1,,,Montemor-o-Velho,Coimbra,Município
0013212,2025,2025,,1920611,Oliveira do Hospital,1,,LV,Letónia,1,,,Oliveira do Hospital,Coimbra,Município
0013212,2025,2025,,1920612,Pampilhosa da Serra,1,,BG,Bulgária,1,,,Pampilhosa da Serra,Coimbra,Município
0013212,2025,2025,,1920613,Penacova,1,,GR,Grécia,1,,,Penacova,Coimbra,Município
0013212,2025,2025,,1920613,Penacova,1,,HR,Croácia,1,,,Penacova,Coimbra,Município
0013212,2025,2025,,1920613,Penacova,1,,LV,Letónia,1,,,Penacova,Coimbra,Município
0013212,2025,2025,,1920614,Penela,1,,EE,Estónia,1,,,Penela,Coimbra,Município
0013212,2025,2025,,1920614,Penela,1,,IN,Índia,1,,,Penela,Coimbra,Município
0013212,2025,2025,,1920614,Penela,1,,RS,Sérvia,1,,,Penela,Coimbra,Município
0013212,2025,2025,,1920615,Soure,1,,IT,Itália,1,,,Soure,Coimbra,Município
0013212,2025,2025,,1920616,Tábua,1,,CY,Chipre,1,,,Tábua,Coimbra,Município
0013212,2025,2025,,1920617,Vila Nova de Poiares,1,,LT,Lituânia,1,,,Vila Nova de Poiares,Coimbra,Município
0013212,2025,2025,,1920617,Vila Nova de Poiares,1,,SE,Suécia,1,,,Vila Nova de Poiares,Coimbra,Município
0013212,2025,2025,,1921808,Mortágua,1,,HR,Croácia,1,,,Mortágua,Viseu,Município
0013212,2025,2025,,1921808,Mortágua,1,,LT,Lituânia,1,,,Mortágua,Viseu,Município
0013212,2025,2025,,1931002,Alvaiázere,1,,AT,Áustria,1,,,Alvaiázere,Leiria,Município
0013212,2025,2025,,1931002,Alvaiázere,1,,BG,Bulgária,1,,,Alvaiázere,Leiria,Município
0013212,2025,2025,,1931002,Alvaiázere,1,,CN,China,1,,,Alvaiázere,Leiria,Município
0013212,2025,2025,,1931002,Alvaiázere,1,,RU,Federação da Rússia,1,,,Alvaiázere,Leiria,Município
0013212,2025,2025,,1931002,Alvaiázere,1,,UA,Ucrânia,1,,,Alvaiázere,Leiria,Município
0013212,2025,2025,,1931003,Ansião,1,,FI,Finlândia,1,,,Ansião,Leiria,Município
0013212,2025,2025,,1931003,Ansião,1,,RU,Federação da Rússia,1,,,Ansião,Leiria,Município
0013212,2025,2025,,1931004,Batalha,1,,CY,Chipre,1,,,Batalha,Leiria,Município
0013212,2025,2025,,1931007,Castanheira de Pêra,1,,AO,Angola,1,,,Castanheira de Pêra,Leiria,Município
0013212,2025,2025,,1931007,Castanheira de Pêra,1,,CA,Canadá,1,,,Castanheira de Pêra,Leiria,Município
0013212,2025,2025,,1931007,Castanheira de Pêra,1,,DE,Alemanha,1,,,Castanheira de Pêra,Leiria,Município
0013212,2025,2025,,1931007,Castanheira de Pêra,1,,US,Estados Unidos da América,1,,,Castanheira de Pêra,Leiria,Município
0013212,2025,2025,,1931007,Castanheira de Pêra,1,,ZZ,Outros,1,,,Castanheira de Pêra,Leiria,Município
0013212,2025,2025,,1931008,Figueiró dos Vinhos,1,,AR,Argentina,1,,,Figueiró dos Vinhos,Leiria,Município
0013212,2025,2025,,1931008,Figueiró dos Vinhos,1,,BG,Bulgária,1,,,Figueiró dos Vinhos,Leiria,Município
0013212,2025,2025,,1931008,Figueiró dos Vinhos,1,,CN,China,1,,,Figueiró dos Vinhos,Leiria,Município
0013212,2025,2025,,1931008,Figueiró dos Vinhos,1,,JP,Japão,1,,,Figueiró dos Vinhos,Leiria,Município
0013212,2025,2025,,1931008,Figueiró dos Vinhos,1,,MX,México,1,,,Figueiró dos Vinhos,Leiria,Município
0013212,2025,2025,,1931008,Figueiró dos Vinhos,1,,RO,Roménia,1,,,Figueiró dos Vinhos,Leiria,Município
0013212,2025,2025,,1931008,Figueiró dos Vinhos,1,,SK,Eslováquia,1,,,Figueiró dos Vinhos,Leiria,Município
0013212,2025,2025,,1931013,Pedrógão Grande,1,,CN,China,1,,,Pedrógão Grande,Leiria,Município
0013212,2025,2025,,1931013,Pedrógão Grande,1,,IE,Irlanda,1,,,Pedrógão Grande,Leiria,Município
0013212,2025,2025,,1931015,Pombal,1,,MT,Malta,1,,,Pombal,Leiria,Município
0013212,2025,2025,,1931016,Porto de Mós,1,,HR,Croácia,1,,,Porto de Mós,Leiria,Município
0013212,2025,2025,,1941803,Castro Daire,1,,KR,Coreia (República da),1,,,Castro Daire,Viseu,Município
0013212,2025,2025,,1941810,Oliveira de Frades,1,,AO,Angola,1,,,Oliveira de Frades,Viseu,Município
0013212,2025,2025,,1941810,Oliveira de Frades,1,,CN,China,1,,,Oliveira de Frades,Viseu,Município
0013212,2025,2025,,1941810,Oliveira de Frades,1,,IN,Índia,1,,,Oliveira de Frades,Viseu,Município
0013212,2025,2025,,1941811,Penalva do Castelo,1,,BG,Bulgária,1,,,Penalva do Castelo,Viseu,Município
0013212,2025,2025,,1941811,Penalva do Castelo,1,,CZ,Chéquia,1,,,Penalva do Castelo,Viseu,Município
0013212,2025,2025,,1941811,Penalva do Castelo,1,,LU,Luxemburgo,1,,,Penalva do Castelo,Viseu,Município
0013212,2025,2025,,1941811,Penalva do Castelo,1,,RO,Roménia,1,,,Penalva do Castelo,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,AO,Angola,1,,,Santa Comba Dão,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,AT,Áustria,1,,,Santa Comba Dão,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,CA,Canadá,1,,,Santa Comba Dão,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,CH,Suíça,1,,,Santa Comba Dão,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,EE,Estónia,1,,,Santa Comba Dão,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,FI,Finlândia,1,,,Santa Comba Dão,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,MA,Marrocos,1,,,Santa Comba Dão,Viseu,Município
0013212,2025,2025,,1941814,Santa Comba Dão,1,,PL,Polónia,1,,,Santa Comba Dão,Viseu,Município
