varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,dim_4,dim_4_t,ind_string,concelho,distrito,nivel_geo
0012918,2025,2025,,11C0305,Celorico de Basto,1132,,T,HM,62,55 - 59 anos,1 132,Celorico de Basto,Braga,Município
0012918,2025,2025,,11D1714,Vila Real,1132,,2,M,21,10 - 14 anos,1 132,Vila Real,Vila Real,Município
0012918,2025,2025,,1A01109,Mafra,1132,,1,H,91,80 - 84 anos,1 132,Mafra,Lisboa,Município
0012918,2025,2025,,1C20203,Alvito,1132,,1,H,T,Total,1 132,Alvito,Beja,Município
0012918,2025,2025,,1910110,Ílhavo,1133,,1,H,31,20 - 24 anos,1 133,Ílhavo,Aveiro,Município
0012918,2025,2025,,1D11014,Peniche,1133,,1,H,52,45 - 49 anos,1 133,Peniche,Leiria,Município
0012918,2025,2025,,1931004,Batalha,1134,,T,HM,62,55 - 59 anos,1 134,Batalha,Leiria,Município
0012918,2025,2025,,1190304,Cabeceiras de Basto,1135,,T,HM,72,65 - 69 anos,1 135,Cabeceiras de Basto,Braga,Município
0012918,2025,2025,,11D1805,Lamego,1135,,T,HM,92,85 e mais anos,1 135,Lamego,Viseu,Município
0012918,2025,2025,,1950509,Sertã,1135,,T,HM,62,55 - 59 anos,1 135,Sertã,Castelo Branco,Município
0012918,2025,2025,,1D11108,Lourinhã,1135,,1,H,52,45 - 49 anos,1 135,Lourinhã,Lisboa,Município
0012918,2025,2025,,11A0107,Espinho,1136,,1,H,61,50 - 54 anos,1 136,Espinho,Aveiro,Município
0012918,2025,2025,,1931016,Porto de Mós,1136,,T,HM,12,5 - 9 anos,1 136,Porto de Mós,Leiria,Município
0012918,2025,2025,,1941816,São Pedro do Sul,1136,,T,HM,71,60 - 64 anos,1 136,São Pedro do Sul,Viseu,Município
0012918,2025,2025,,1111604,Monção,1138,,T,HM,62,55 - 59 anos,1 138,Monção,Viana do Castelo,Município
0012918,2025,2025,,11A1318,Trofa,1138,,1,H,72,65 - 69 anos,1 138,Trofa,Porto,Município
0012918,2025,2025,,1920602,Cantanhede,1138,,2,M,51,40 - 44 anos,1 138,Cantanhede,Coimbra,Município
0012918,2025,2025,,1C20205,Beja,1138,,T,HM,91,80 - 84 anos,1 138,Beja,Beja,Município
0012918,2025,2025,,11A0113,Oliveira de Azeméis,1139,,2,M,11,0 - 4 anos,1 139,Oliveira de Azeméis,Aveiro,Município
0012918,2025,2025,,1C20205,Beja,1139,,1,H,71,60 - 64 anos,1 139,Beja,Beja,Município
0012918,2025,2025,,2004302,Vila da Praia da Vitória,1139,,T,HM,81,70 - 74 anos,1 139,Vila da Praia da Vitória,Região Autónoma dos Açores,Município
0012918,2025,2025,,1500814,Tavira,1140,,1,H,32,25 - 29 anos,1 140,Tavira,Faro,Município
0012918,2025,2025,,1C40706,Montemor-o-Novo,1140,,T,HM,72,65 - 69 anos,1 140,Montemor-o-Novo,Évora,Município
0012918,2025,2025,,1D31405,Benavente,1140,,1,H,41,30 - 34 anos,1 140,Benavente,Santarém,Município
0012918,2025,2025,,11C1301,Amarante,1141,,1,H,21,10 - 14 anos,1 141,Amarante,Porto,Município
0012918,2025,2025,,11C1305,Lousada,1141,,2,M,12,5 - 9 anos,1 141,Lousada,Porto,Município
0012918,2025,2025,,1500810,Olhão,1141,,2,M,12,5 - 9 anos,1 141,Olhão,Faro,Município
0012918,2025,2025,,1910101,Águeda,1141,,1,H,12,5 - 9 anos,1 141,Águeda,Aveiro,Município
0012918,2025,2025,,1190307,Fafe,1142,,2,M,92,85 e mais anos,1 142,Fafe,Braga,Município
