distrito,ano,dim_4_t,valor
Bragança,2025,85 e mais anos,8332
Bragança,2025,Total,123642
Bragança,2025,0 - 4 anos,3434
Bragança,2025,5 - 9 anos,4156
Bragança,2025,10 - 14 anos,4209
Bragança,2025,15 - 19 anos,4823
Bragança,2025,20 - 24 anos,6621
Bragança,2025,25 - 29 anos,6942
Castelo Branco,2020,30 - 34 anos,7733
Castelo Branco,2020,35 - 39 anos,9437
Castelo Branco,2020,40 - 44 anos,11205
Castelo Branco,2020,45 - 49 anos,11807
Castelo Branco,2020,50 - 54 anos,12313
Castelo Branco,2020,55 - 59 anos,13393
Castelo Branco,2020,60 - 64 anos,14072
Castelo Branco,2020,65 - 69 anos,13826
Castelo Branco,2020,70 - 74 anos,12646
Castelo Branco,2020,75 - 79 anos,10770
Castelo Branco,2020,80 - 84 anos,9321
Castelo Branco,2020,85 e mais anos,10746
Castelo Branco,2020,Total,178870
Castelo Branco,2020,0 - 4 anos,5750
Castelo Branco,2020,5 - 9 anos,6033
Castelo Branco,2020,10 - 14 anos,6946
Castelo Branco,2020,15 - 19 anos,7634
Castelo Branco,2020,20 - 24 anos,8081
Castelo Branco,2020,25 - 29 anos,7157
Castelo Branco,2021,30 - 34 anos,8079
Castelo Branco,2021,35 - 39 anos,9302
Castelo Branco,2021,40 - 44 anos,11103
Castelo Branco,2021,45 - 49 anos,11814
Castelo Branco,2021,50 - 54 anos,12014
Castelo Branco,2021,55 - 59 anos,12705
Castelo Branco,2021,60 - 64 anos,13542
Castelo Branco,2021,65 - 69 anos,13348
Castelo Branco,2021,70 - 74 anos,12234
Castelo Branco,2021,75 - 79 anos,10633
Castelo Branco,2021,80 - 84 anos,8926
Castelo Branco,2021,85 e mais anos,11374
Castelo Branco,2021,Total,178219
Castelo Branco,2021,0 - 4 anos,5557
Castelo Branco,2021,5 - 9 anos,6174
Castelo Branco,2021,10 - 14 anos,7049
Castelo Branco,2021,15 - 19 anos,7620
Castelo Branco,2021,20 - 24 anos,8826
Castelo Branco,2021,25 - 29 anos,7919
Castelo Branco,2022,30 - 34 anos,8728
Castelo Branco,2022,35 - 39 anos,9651
Castelo Branco,2022,40 - 44 anos,11293
Castelo Branco,2022,45 - 49 anos,12170
Castelo Branco,2022,50 - 54 anos,12113
Castelo Branco,2022,55 - 59 anos,12686
Castelo Branco,2022,60 - 64 anos,13614
Castelo Branco,2022,65 - 69 anos,13540
Castelo Branco,2022,70 - 74 anos,12609
Castelo Branco,2022,75 - 79 anos,10733
Castelo Branco,2022,80 - 84 anos,8778
Castelo Branco,2022,85 e mais anos,11343
Castelo Branco,2022,Total,182709
Castelo Branco,2022,0 - 4 anos,5746
Castelo Branco,2022,5 - 9 anos,6595
Castelo Branco,2022,10 - 14 anos,7233
Castelo Branco,2022,15 - 19 anos,7936
Castelo Branco,2022,20 - 24 anos,9176
Castelo Branco,2022,25 - 29 anos,8765
Castelo Branco,2023,30 - 34 anos,9215
Castelo Branco,2023,35 - 39 anos,9954
Castelo Branco,2023,40 - 44 anos,11483
Castelo Branco,2023,45 - 49 anos,12344
Castelo Branco,2023,50 - 54 anos,12326
Castelo Branco,2023,55 - 59 anos,12587
Castelo Branco,2023,60 - 64 anos,13549
Castelo Branco,2023,65 - 69 anos,13780
Castelo Branco,2023,70 - 74 anos,12658
Castelo Branco,2023,75 - 79 anos,10962
Castelo Branco,2023,80 - 84 anos,8768
Castelo Branco,2023,85 e mais anos,11545
Castelo Branco,2023,Total,186380
Castelo Branco,2023,0 - 4 anos,5801
Castelo Branco,2023,5 - 9 anos,6909
Castelo Branco,2023,10 - 14 anos,7335
Castelo Branco,2023,15 - 19 anos,8137
Castelo Branco,2023,20 - 24 anos,9563
Castelo Branco,2023,25 - 29 anos,9464
Castelo Branco,2024,30 - 34 anos,9435
Castelo Branco,2024,35 - 39 anos,10039
Castelo Branco,2024,40 - 44 anos,11576
Castelo Branco,2024,45 - 49 anos,12517
Castelo Branco,2024,50 - 54 anos,12311
Castelo Branco,2024,55 - 59 anos,12525
Castelo Branco,2024,60 - 64 anos,13480
Castelo Branco,2024,65 - 69 anos,14080
Castelo Branco,2024,70 - 74 anos,12848
Castelo Branco,2024,75 - 79 anos,11122
Castelo Branco,2024,80 - 84 anos,8730
Castelo Branco,2024,85 e mais anos,11647
Castelo Branco,2024,Total,188479
Castelo Branco,2024,0 - 4 anos,6038
Castelo Branco,2024,5 - 9 anos,7045
Castelo Branco,2024,10 - 14 anos,7421
Castelo Branco,2024,15 - 19 anos,8179
Castelo Branco,2024,20 - 24 anos,9494
Castelo Branco,2024,25 - 29 anos,9992
Castelo Branco,2025,30 - 34 anos,9411
Castelo Branco,2025,35 - 39 anos,10055
Castelo Branco,2025,40 - 44 anos,11478
Castelo Branco,2025,45 - 49 anos,12554
Castelo Branco,2025,50 - 54 anos,12499
Castelo Branco,2025,55 - 59 anos,12548
Castelo Branco,2025,60 - 64 anos,13489
Castelo Branco,2025,65 - 69 anos,14039
Castelo Branco,2025,70 - 74 anos,13041
Castelo Branco,2025,75 - 79 anos,11331
Castelo Branco,2025,80 - 84 anos,8947
Castelo Branco,2025,85 e mais anos,11525
Castelo Branco,2025,Total,189090
Castelo Branco,2025,0 - 4 anos,6024
Castelo Branco,2025,5 - 9 anos,7045
Castelo Branco,2025,10 - 14 anos,7353
Castelo Branco,2025,15 - 19 anos,8207
Castelo Branco,2025,20 - 24 anos,9306
Castelo Branco,2025,25 - 29 anos,10238
Coimbra,2020,30 - 34 anos,19262
Coimbra,2020,35 - 39 anos,23826
Coimbra,2020,40 - 44 anos,29027
Coimbra,2020,45 - 49 anos,30243
Coimbra,2020,50 - 54 anos,29363
Coimbra,2020,55 - 59 anos,30598
Coimbra,2020,60 - 64 anos,29841
Coimbra,2020,65 - 69 anos,28342
Coimbra,2020,70 - 74 anos,26729
Coimbra,2020,75 - 79 anos,21828
Coimbra,2020,80 - 84 anos,17831
Coimbra,2020,85 e mais anos,18075
Coimbra,2020,Total,410830
Coimbra,2020,0 - 4 anos,15052
Coimbra,2020,5 - 9 anos,15552
Coimbra,2020,10 - 14 anos,17396
Coimbra,2020,15 - 19 anos,18770
Coimbra,2020,20 - 24 anos,20232
Coimbra,2020,25 - 29 anos,18863
Coimbra,2021,30 - 34 anos,20060
Coimbra,2021,35 - 39 anos,23633
Coimbra,2021,40 - 44 anos,28630
Coimbra,2021,45 - 49 anos,31030
Coimbra,2021,50 - 54 anos,29528
Coimbra,2021,55 - 59 anos,30233
Coimbra,2021,60 - 64 anos,29560
Coimbra,2021,65 - 69 anos,27970
Coimbra,2021,70 - 74 anos,26735
Coimbra,2021,75 - 79 anos,22170
Coimbra,2021,80 - 84 anos,17870
Coimbra,2021,85 e mais anos,18744
Coimbra,2021,Total,414325
Coimbra,2021,0 - 4 anos,14346
Coimbra,2021,5 - 9 anos,15770
Coimbra,2021,10 - 14 anos,17501
Coimbra,2021,15 - 19 anos,19040
Coimbra,2021,20 - 24 anos,21532
Coimbra,2021,25 - 29 anos,19973
Coimbra,2022,30 - 34 anos,21430
Coimbra,2022,35 - 39 anos,23668
Coimbra,2022,40 - 44 anos,28768
Coimbra,2022,45 - 49 anos,31745
Coimbra,2022,50 - 54 anos,30151
Coimbra,2022,55 - 59 anos,30261
Coimbra,2022,60 - 64 anos,30183
Coimbra,2022,65 - 69 anos,28275
Coimbra,2022,70 - 74 anos,27386
Coimbra,2022,75 - 79 anos,22518
Coimbra,2022,80 - 84 anos,17652
Coimbra,2022,85 e mais anos,19113
Coimbra,2022,Total,423878
Coimbra,2022,0 - 4 anos,14563
Coimbra,2022,5 - 9 anos,16520
Coimbra,2022,10 - 14 anos,17907
Coimbra,2022,15 - 19 anos,19593
Coimbra,2022,20 - 24 anos,22369
Coimbra,2022,25 - 29 anos,21776
Coimbra,2023,30 - 34 anos,22684
Coimbra,2023,35 - 39 anos,24057
Coimbra,2023,40 - 44 anos,28866
Coimbra,2023,45 - 49 anos,32077
Coimbra,2023,50 - 54 anos,30750
Coimbra,2023,55 - 59 anos,30448
