varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0009183,2025,2025,,16D,Região de Aveiro,19458,,US,Estados Unidos da América,19 458,,,Região de Aveiro,,Agregado (NUTS/Continente)
0009183,2025,2025,,11D,Douro,19462,,ES,Espanha,19 462,,,Douro,,Agregado (NUTS/Continente)
0009183,2025,2025,,3003104,Machico,19462,,NL,Países Baixos (Reino dos),19 462,,,Machico,Região Autónoma da Madeira,Município
0009183,2025,2025,,1190314,Vizela,19499,,PT,Portugal,19 499,,,Vizela,Braga,Município
0009183,2025,2025,,16B,Oeste,19564,,BE,Bélgica,19 564,,,Oeste,,Agregado (NUTS/Continente)
0009183,2025,2025,,1870701,Alandroal,19598,,T,Total,19 598,,,Alandroal,Évora,Município
0009183,2025,2025,,1500806,Lagoa,19652,,BR,Brasil,19 652,,,Lagoa,Faro,Município
0009183,2025,2025,,16I1411,Ferreira do Zêzere,19666,,PT,Portugal,19 666,,,Ferreira do Zêzere,Santarém,Município
0009183,2025,2025,,11C,Tâmega e Sousa,19668,,US,Estados Unidos da América,19 668,,,Tâmega e Sousa,,Agregado (NUTS/Continente)
0009183,2025,2025,,1120313,Vila Verde,19753,,E,Estrangeiro,19 753,,,Vila Verde,Braga,Município
0009183,2025,2025,,1500815,Vila do Bispo,19836,,CH,Suíça,19 836,,,Vila do Bispo,Faro,Município
0009183,2025,2025,,16B1005,Bombarral,19847,,T,Total,19 847,,,Bombarral,Leiria,Município
0009183,2025,2025,,1701105,Cascais,19884,,CH,Suíça,19 884,,,Cascais,Lisboa,Município
0009183,2025,2025,,11B1706,Montalegre,19931,,PT,Portugal,19 931,,,Montalegre,Vila Real,Município
0009183,2025,2025,,1500811,Portimão,19937,,SE,Suécia,19 937,,,Portimão,Faro,Município
0009183,2025,2025,,16I1410,Entroncamento,19940,,T,Total,19 940,,,Entroncamento,Santarém,Município
0009183,2025,2025,,2004205,Ribeira Grande,19957,,DE,Alemanha,19 957,,,Ribeira Grande,Região Autónoma dos Açores,Município
0009183,2025,2025,,3003103,Funchal,19963,,LV,Letónia,19 963,,,Funchal,Região Autónoma da Madeira,Município
0009183,2025,2025,,11A1310,Paredes,19972,,ES,Espanha,19 972,,,Paredes,Porto,Município
